,Country,Region,Happiness Score,Healthy Life Expectancy
0,Afghanistan,South Asia,3.631518841,52.01332855
1,Albania,Central and Eastern Europe,4.586039543,68.87155151
2,Algeria,Middle East and North Africa,5.29463768,65.6048584
3,Angola,Sub-Saharan Africa,3.794837952,52.46070862
4,Argentina,Latin America and Caribbean,6.387957573,67.39848328
5,Armenia,Commonwealth of Independent States,4.320565224,64.96247864
6,Australia,North America and ANZ,7.2720513339999995,72.65029907
7,Austria,Western Europe,7.139362335,72.04956818
8,Azerbaijan,Commonwealth of Independent States,5.200594902,62.96974945
9,Bahrain,Middle East and North Africa,6.105068684,65.97679138
10,Bangladesh,South Asia,4.50039053,62.20355988
11,Belarus,Commonwealth of Independent States,5.483326435,66.03050995
12,Belgium,Western Europe,6.926885605,72.14292908
13,Belize,Latin America and Caribbean,5.955646515,58.92390823
14,Benin,Sub-Saharan Africa,4.141364098,51.561798100000004
15,Bhutan,South Asia,5.082128525,60.56794357
16,Bolivia,Latin America and Caribbean,5.751889706,59.99578857
17,Bosnia and Herzegovina,Central and Eastern Europe,5.129354,67.83827209
18,Botswana,Sub-Saharan Africa,3.58982873,57.10570526
19,Brazil,Latin America and Caribbean,6.4188904760000005,65.24413299999999
20,Bulgaria,Central and Eastern Europe,4.933124542,66.4154892
21,Burkina Faso,Sub-Saharan Africa,4.42439127,51.99110031
22,Burundi,Sub-Saharan Africa,2.904535055,48.56855774
23,Cambodia,Southeast Asia,4.432588099999999,58.37112808
24,Cameroon,Sub-Saharan Africa,4.975327015,49.73516464
25,Canada,North America and ANZ,7.328528404,72.19080353
26,Central African Republic,Sub-Saharan Africa,3.0829975610000004,44.31241989
27,Chad,Sub-Saharan Africa,4.300587177,45.65771484
28,Chile,Latin America and Caribbean,6.476189137,69.43771362
29,China,East Asia,5.245798111,69.15530396
30,Colombia,Latin America and Caribbean,6.260081767999999,63.98257065
31,Congo (Brazzaville),Sub-Saharan Africa,4.558671474,54.78947067
32,Congo (Kinshasa),Sub-Saharan Africa,4.244946003,50.42560196
33,Costa Rica,Latin America and Caribbean,7.07165432,69.69971466
34,Croatia,Central and Eastern Europe,5.321210384,67.19174194
